"weight";"word"
"2";"1606"
"0";"tragedy"
"0";"king"
"466";"lear"
"0";"william"
"0";"shakespeare"
"1";"dramatis"
"1";"personae"
"4";"britain"
"32";"france"
"13";"duke"
"30";"burgundy"
"46";"cornwall"
"40";"albany"
"11";"earl"
"348";"kent"
"124";"gloucester"
"74";"edgar"
"0";"son"
"106";"edmund"
"11";"bastard"
"6";"curan"
"0";"courtier"
"0";"man"
"6";"tenant"
"4";"doctor"
"0";"fool"
"36";"oswald"
"11";"steward"
"64";"goneril"
"0";"captain"
"1";"command"
"0";"gentlemen"
"0";"herald"
"0";"servants"
"0";"daughter"
"64";"regan"
"62";"cordelia"
"24";"knights"
"0";"attending"
"0";"officers"
"1";"messengers"
"3";"soldiers"
"0";"attendants"
"20";"electronic"
"5";"version"
"2";"complete"
"2";"works"
"10";"copyright"
"10";"1990"
"10";"1993"
"5";"library"
"5";"project"
"10";"gutenberg"
"10";"etext"
"10";"carnegie"
"10";"mellon"
"5";"university"
"5";"permission"
"5";"machine"
"10";"readable"
"20";"copies"
"20";"distributed"
"0";"long"
"2";"personal"
"10";"commercially"
"10";"prohibited"
"10";"commercial"
"12";"distribution"
"10";"includes"
"4";"service"
"12";"charges"
"10";"download"
"0";"time"
"10";"membership"
"0";"scene"
"2";"palace"
"0";"enter"
"2";"glouceste"
"0";"converse"
"0";"stands"
"0";"thought"
"236";"glou"
"1";"division"
"12";"kingdom"
"1";"appears"
"12";"dukes"
"2";"values"
"2";"equalities"
"0";"weigh"
"6";"curiosity"
"0";"choice"
"1";"moiety"
"0";"lord"
"1";"breeding"
"0";"sir"
"0";"hath"
"0";"charge"
"0";"blush"
"2";"acknowledge"
"2";"braz"
"0";"conceive"
"0";"young"
"0";"fellow"
"0";"mother"
"1";"grew"
"0";"womb"
"1";"cradle"
"0";"ere"
"0";"husband"
"0";"bed"
"2";"smell"
"0";"fault"
"0";"undone"
"0";"issue"
"0";"proper"
"0";"order"
"0";"law"
"0";"year"
"0";"elder"
"4";"dearer"
"0";"account"
"0";"knave"
"4";"saucily"
"0";"fair"
"0";"good"
"0";"sport"
"0";"making"
"2";"whoreson"
"2";"acknowledged"
"0";"noble"
"0";"gentleman"
"158";"edm"
"0";"remember"
"0";"honourable"
"0";"friend"
"5";"services"
"1";"lordship"
"0";"love"
"1";"sue"
"1";"study"
"2";"deserving"
"0";"years"
"4";"sound"
"2";"sennet"
"0";"coming"
"1";"bearing"
"2";"coronet"
"1";"followers"
"0";"attend"
"2";"lords"
"0";"liege"
"14";"exeunt"
"0";"express"
"2";"darker"
"0";"purpose"
"2";"map"
"0";"divided"
"0";"tis"
"0";"fast"
"2";"intent"
"0";"shake"
"4";"cares"
"0";"business"
"0";"age"
"2";"conferring"
"0";"younger"
"2";"strengths"
"2";"unburthen"
"2";"crawl"
"0";"death"
"0";"loving"
"0";"hour"
"0";"constant"
"4";"publish"
"0";"daughters"
"4";"dowers"
"2";"future"
"0";"strife"
"1";"prevented"
"2";"princes"
"0";"great"
"1";"rivals"
"3";"youngest"
"0";"court"
"0";"amorous"
"3";"sojourn"
"0";"answer"
"2";"divest"
"1";"rule"
"2";"territory"
"0";"doth"
"2";"largest"
