"weight";"word"
"2";"xxxx"
"670";"othello"
"59";"moor"
"48";"venice"
"0";"william"
"0";"shakespeare"
"0";"persons"
"2";"represented"
"16";"duke"
"94";"brabantio"
"22";"senator"
"14";"senators"
"54";"gratiano"
"0";"brother"
"88";"lodovico"
"1";"kinsman"
"0";"noble"
"3";"service"
"508";"cassio"
"60";"lieutenant"
"722";"iago"
"0";"ancient"
"210";"roderigo"
"10";"venetian"
"0";"gentleman"
"72";"montano"
"2";"predecessor"
"3";"government"
"70";"cyprus"
"7";"clown"
"0";"servant"
"0";"herald"
"454";"desdemona"
"0";"daughter"
"0";"wife"
"274";"emilia"
"56";"bianca"
"0";"mistress"
"3";"officers"
"0";"gentlemen"
"0";"messenger"
"1";"musicians"
"4";"sailor"
"0";"attendants"
"0";"scene"
"0";"rest"
"0";"play"
"4";"seaport"
"5";"street"
"0";"enter"
"0";"tush"
"2";"unkindly"
"0";"hast"
"4";"purse"
"0";"strings"
"0";"thine"
"1";"shouldst"
"1";"sblood"
"0";"hear"
"0";"dream"
"0";"matter"
"6";"abhor"
"0";"told"
"0";"didst"
"0";"hold"
"0";"thy"
"0";"hate"
"4";"despise"
"0";"great"
"0";"city"
"0";"personal"
"0";"suit"
"2";"capp"
"0";"faith"
"0";"man"
"0";"price"
"0";"worth"
"0";"worse"
"0";"place"
"0";"loving"
"0";"pride"
"1";"purposes"
"2";"evades"
"2";"bombast"
"1";"circumstance"
"2";"horribly"
"0";"stuff"
"2";"epithets"
"2";"war"
"4";"conclusion"
"2";"nonsuits"
"2";"mediators"
"2";"certes"
"4";"chose"
"3";"officer"
"0";"forsooth"
"2";"arithmetician"
"11";"michael"
"4";"florentine"
"0";"fellow"
"10";"damn"
"0";"fair"
"0";"set"
"2";"squadron"
"0";"field"
"0";"division"
"2";"battle"
"2";"spinster"
"2";"bookish"
"2";"theoric"
"2";"toged"
"4";"consuls"
"1";"propose"
"1";"masterly"
"1";"mere"
"4";"prattle"
"1";"practice"
"2";"soldiership"
"0";"sir"
"0";"election"
"0";"eyes"
"0";"proof"
"12";"rhodes"
"2";"grounds"
"1";"christian"
"1";"heathen"
"2";"belee"
"0";"calm"
"2";"debitor"
"2";"creditor"
"1";"counter"
"2";"caster"
"0";"good"
"0";"time"
"0";"god"
"0";"bless"
"0";"mark"
"2";"moorship"
"0";"heaven"
