"weight";"word"
"960";"hamlet"
"0";"william"
"0";"shakespeare"
"2";"edited"
"1";"barbara"
"2";"mowat"
"2";"paul"
"2";"werstine"
"1";"michael"
"2";"poston"
"2";"rebecca"
"2";"niles"
"4";"folger"
"1";"library"
"2";"https"
"2";"shakespeares"
"0";"works"
"2";"created"
"1";"jul"
"2";"2015"
"2";"fdt"
"1";"version"
"2";"characters"
"0";"play"
"13";"ghost"
"2";"prince"
"50";"denmark"
"0";"son"
"0";"late"
"0";"king"
"51";"queen"
"32";"gertrude"
"0";"widow"
"1";"married"
"12";"claudius"
"0";"brother"
"178";"ophelia"
"222";"laertes"
"238";"polonius"
"0";"father"
"2";"councillor"
"38";"reynaldo"
"0";"servant"
"322";"horatio"
"0";"friend"
"2";"confidant"
"2";"courtiers"
"14";"danish"
"0";"court"
"18";"voltemand"
"14";"cornelius"
"150";"rosencrantz"
"116";"guildenstern"
"72";"osric"
"0";"gentlemen"
"0";"lord"
"2";"soldiers"
"24";"francisco"
"58";"barnardo"
"88";"marcellus"
"44";"fortinbras"
"26";"norway"
"0";"captain"
"3";"army"
"12";"ambassadors"
"22";"england"
"23";"players"
"2";"roles"
"2";"prologue"
"25";"player"
"8";"lucianus"
"0";"title"
"0";"murder"
"10";"gonzago"
"0";"messengers"
"6";"sailors"
"74";"gravedigger"
"1";"companion"
"5";"doctor"
"1";"divinity"
"0";"attendants"
"2";"lords"
"0";"guards"
"0";"musicians"
"0";"followers"
"1";"officers"
"0";"scene"
"0";"enter"
"2";"sentinels"
"0";"answer"
"0";"stand"
"0";"unfold"
"0";"long"
"0";"live"
"0";"carefully"
"0";"hour"
"0";"tis"
"2";"struck"
"0";"thee"
"0";"bed"
"1";"relief"
"0";"bitter"
"0";"cold"
"0";"sick"
"0";"heart"
"2";"quiet"
"1";"guard"
"0";"mouse"
"0";"stirring"
"0";"good"
"0";"night"
"0";"meet"
"1";"rivals"
"0";"watch"
"0";"bid"
"0";"haste"
"0";"hear"
"0";"friends"
"4";"ground"
"2";"liegemen"
"6";"dane"
"0";"farewell"
"0";"honest"
"0";"soldier"
"0";"hath"
"2";"relieved"
"0";"place"
"76";"exits"
"0";"holla"
"0";"piece"
"3";"appeared"
"22";"tonight"
"1";"fantasy"
"1";"belief"
"0";"hold"
"1";"touching"
"2";"dreaded"
"0";"sight"
"1";"entreated"
"1";"minutes"
"4";"apparition"
"0";"approve"
"0";"eyes"
"0";"speak"
"0";"tush"
"0";"twill"
"0";"sit"
"0";"awhile"
"2";"assail"
"0";"ears"
"2";"fortified"
"1";"story"
"0";"nights"
"0";"yond"
"2";"star"
"1";"westward"
"2";"pole"
"2";"illume"
"0";"heaven"
"2";"burns"
"0";"bell"
"6";"beating"
"0";"peace"
"0";"break"
"0";"figure"
"0";"dead"
"0";"art"
"2";"scholar"
"0";"mark"
"2";"harrows"
"0";"fear"
"0";"spoke"
"2";"usurp"
"0";"time"
"0";"fair"
"2";"warlike"
"0";"form"
"16";"majesty"
"6";"buried"
"2";"march"
"0";"charge"
"1";"offended"
"2";"stalks"
"0";"stay"
"0";"tremble"
"3";"pale"
"0";"god"
"0";"true"
"1";"avouch"
"0";"thyself"
"6";"armor"
"6";"ambitious"
"2";"combated"
"2";"frowned"
"0";"angry"
"4";"parle"
"1";"smote"
"2";"sledded"
"2";"polacks"
"2";"ice"
"0";"strange"
"2";"jump"
"1";"martial"
"2";"stalk"
"0";"thought"
"0";"work"
"0";"gross"
"1";"scope"
"0";"opinion"
"1";"bodes"
"2";"eruption"
"4";"strict"
"2";"observant"
"0";"nightly"
"2";"toils"
"1";"subject"
"2";"land"
"1";"daily"
"0";"cast"
"1";"brazen"
"1";"cannon"
"0";"foreign"
"2";"mart"
"2";"implements"
"0";"war"
"1";"impress"
"2";"shipwrights"
"1";"sore"
"0";"task"
"2";"divide"
"2";"sunday"
